Benchmark (all times in milliseconds): 1000, 5000, 10000, 50000, 100000, 500000, 1000000, 5000000
[get] Object Native: 0, 0, 0, 1, 0, 0, 1, 3
[get] Object Seamless-immutable: 0, 1, 0, 0, 6, 0, 1, 3
[get] Object Immutable.js: 2, 1, 2, 9, 14, 8, 7, 29
[get] Object Mori.js: 2, 4, 6, 18, 15, 15, 22, 139
[get] Object Crio: 1, 0, 1, 0, 5, 0, 1, 3
[get] Array Native: 0, 0, 2, 1, 2, 6, 15, 70
[get] Array Seamless-immutable.js: 0, 1, 0, 4, 3, 12, 18, 69
[get] Array Immutable.js: 1, 1, 3, 4, 6, 9, 22, 78
[get] Array Mori.js: 1, 4, 8, 10, 7, 24, 37, 210
[get] Array Crio: 0, 0, 1, 5, 1, 6, 14, 55
[get-in] Object Native: 0, 0, 0, 1, 0, 1, 0, 3
[get-in] Object Seamless-immutable: 1, 0, 0, 3, 5, 0, 1, 3
[get-in] Object Immutable.js: 1, 4, 5, 9, 5, 26, 46, 231
[get-in] Object Mori.js: 2, 7, 13, 14, 9, 42, 85, 444
[get-in] Object Crio: 0, 0, 0, 3, 2, 1, 1, 3
[get-in] Array Native: 0, 0, 1, 2, 2, 7, 12, 58
[get-in] Array Seamless-immutable.js: 0, 1, 2, 4, 6, 10, 16, 62
[get-in] Array Immutable.js: 1, 4, 2, 13, 9, 45, 85, 433
[get-in] Array Mori.js: 1, 9, 10, 22, 12, 59, 118, 606
[get-in] Array Crio: 0, 1, 1, 7, 1, 6, 13, 60
[set] Object Native: 0, 2, 4, 16, 27, 131, 261, 1306
[set] Object Seamless-immutable: 5, 23, 39, 146, 278, 1387, 2766, 13815
[set] Object Immutable.js: 1, 5, 3, 9, 5, 35, 59, 282
[set] Object Mori.js: 1, 3, 7, 9, 17, 39, 68, 344
[set] Object Crio: 2, 15, 11, 37, 62, 298, 602, 2964
[set] Array Native: 0, 1, 3, 8, 15, 72, 142, 691
[set] Array Seamless-immutable.js: 9, 39, 69, 289, 583, 2936, 6033, 30191
[set] Array Immutable.js: 2, 4, 9, 12, 29, 116, 223, 1086
[set] Array Mori.js: 1, 4, 3, 2, 8, 31, 56, 272
[set] Array Crio: 7, 22, 41, 151, 311, 1545, 3081, 15373
[set-in] Object Native: 1, 6, 8, 30, 58, 275, 551, 2708
[set-in] Object Seamless-immutable: 7, 36, 66, 305, 587, 3006, 5853, 29286
[set-in] Object Immutable.js: 2, 6, 5, 23, 35, 154, 292, 1507
[set-in] Object Mori.js: 4, 8, 6, 15, 26, 94, 184, 901
[set-in] Object Crio: 5, 20, 30, 104, 198, 947, 1861, 9285
[set-in] Array Native: 1, 3, 4, 15, 29, 134, 268, 1345
[set-in] Array Seamless-immutable.js: 17, 86, 126, 601, 1165, 5801, 11664, 57540
[set-in] Array Immutable.js: 4, 15, 14, 36, 67, 326, 656, 3276
[set-in] Array Mori.js: 1, 12, 9, 15, 27, 122, 245, 1232
[set-in] Array Crio: 4, 18, 42, 151, 292, 1500, 2940, 14814
